feature_name,comparison_type,candidate_name,label_group,scheme_group,compared_rows,exact_match_count,exact_match_percentage,mae,median_absolute_error,pearson_correlation,modal_delta,modal_delta_count,top_delta_distribution
NoOfOtherSpecialCharsInURL,candidate_definition,A_full_stripped_raw_url,all,all,235795,0,0.0,3.934850187663012,4.0,0.9629647904114417,-4.0,189004,-4:189004; -3:40500; -5:2998; -6:955; -7:757
NoOfOtherSpecialCharsInURL,candidate_definition,A_full_stripped_raw_url,phishing,all,100945,0,0.0,3.8477784932388923,4.0,0.9674766395757898,-4.0,54158,-4:54158; -3:40500; -5:2994; -6:955; -7:757
NoOfOtherSpecialCharsInURL,candidate_definition,A_full_stripped_raw_url,legitimate,all,134850,0,0.0,4.0000296625880605,4.0,0.9999416037650649,-4.0,134846,-4:134846; -5:4
NoOfOtherSpecialCharsInURL,candidate_definition,A_full_stripped_raw_url_other_special,all,all,235795,14,0.005937360843105239,1.9016730634661465,1.0,0.8612148371748061,1.0,144464,1:144464; 2:41602; 3:24190; 4:9672; 5:6427
NoOfOtherSpecialCharsInURL,candidate_definition,A_full_stripped_raw_url_other_special,phishing,all,100945,10,0.00990638466491654,2.8902768834513846,2.0,0.8753222592090983,1.0,29607,1:29607; 2:23364; 3:22499; 4:9612; 5:6427
NoOfOtherSpecialCharsInURL,candidate_definition,A_full_stripped_raw_url_other_special,legitimate,all,134850,4,0.0029662588060808304,1.1616314423433445,1.0,0.5977276326586819,1.0,114857,1:114857; 2:18238; 3:1691; 4:60; 0:4
SpacialCharRatioInURL,candidate_definition,A_full_stripped_raw_url,all,all,235795,0,0.0,0.13091690791161456,0.13641379310344828,0.3071222083708958,-0.158,10265,-0.158:10265; -0.152307692308:10052; -0.165333333333:9943; -0.147185185185:9757; -0.172391304348:9176
SpacialCharRatioInURL,candidate_definition,A_full_stripped_raw_url,phishing,all,100945,0,0.0,0.1058820194846296,0.1014137931034483,0.2874062537558608,-0.145222222222,1984,-0.145222222222:1984; -0.172391304348:1911; -0.179272727273:1834; -0.165333333333:1711; -0.158:1581
SpacialCharRatioInURL,candidate_definition,A_full_stripped_raw_url,legitimate,all,134850,0,0.0,0.14965733662694267,0.14718518518518517,0.7174767220375057,-0.152307692308,8796,-0.152307692308:8796; -0.158:8684; -0.147185185185:8563; -0.165333333333:8232; -0.141571428571:7963
SpacialCharRatioInURL,candidate_definition,A_full_stripped_raw_url_other_special,all,all,235795,4,0.0016963888123157828,0.05517477904265135,0.045,0.6718931590798977,0.043,11697,0.043:11697; 0.042:10995; 0.04:10732; 0.045:10474; 0.038:10266
SpacialCharRatioInURL,candidate_definition,A_full_stripped_raw_url_other_special,phishing,all,100945,0,0.0,0.06809236666335601,0.065,0.6567329099662934,0.045,3183,0.045:3183; 0.048:2863; 0.043:2842; 0.053:2414; 0.077:2406
SpacialCharRatioInURL,candidate_definition,A_full_stripped_raw_url_other_special,legitimate,all,134850,4,0.0029662588060808304,0.04550502833911384,0.04,0.4987474566594113,0.043,8855,0.043:8855; 0.04:8796; 0.042:8690; 0.038:8563; 0.037:7963
URLLength,candidate_definition,B_scheme_prefix_removed,all,all,235795,0,0.0,6.986903878368922,7.0,0.9999211388207052,7.0,171696,7:171696; 6:33601; 8:30496; 4:1; -27:1
URLLength,candidate_definition,B_scheme_prefix_removed,phishing,all,100945,0,0.0,6.969409084154738,7.0,0.999916342160176,7.0,36846,7:36846; 6:33601; 8:30496; 4:1; -27:1
URLLength,candidate_definition,B_scheme_prefix_removed,legitimate,all,134850,0,0.0,7.0,7.0,1.0,7.0,134850,7:134850
URLLength,candidate_definition,B_scheme_prefix_removed,all,http,51749,0,0.0,6.35069276700999,6.0,0.9999423882165054,6.0,33601,6:33601; 7:18148
URLLength,candidate_definition,B_scheme_prefix_removed,all,https,184046,0,0.0,7.165790074220575,7.0,0.9999589983864012,7.0,153548,7:153548; 8:30496; 4:1; -27:1
NoOfLettersInURL,candidate_definition,B_scheme_prefix_removed,all,all,235795,51237,21.72946839415594,2.9962806675289975,4.0,0.9983745507397277,-4.0,164831,-4:164831; 0:51237; -3:11838; -1:7403; -10:285
NoOfLettersInURL,candidate_definition,B_scheme_prefix_removed,phishing,all,100945,51237,50.75734310763287,1.655317251968894,0.0,0.999019208205321,0.0,51237,0:51237; -4:29985; -3:11838; -1:7403; -10:285
NoOfLettersInURL,candidate_definition,B_scheme_prefix_removed,legitimate,all,134850,0,0.0,4.000088987764182,4.0,0.9999941653721215,-4.0,134846,-4:134846; -7:4
LetterRatioInURL,candidate_definition,B_scheme_prefix_removed,all,all,235795,66,0.027990415403210418,0.32261462776880045,0.357090909090909,0.33282111074979026,-0.408888888889,8583,-0.408888888889:8583; -0.424352941176:8434; -0.394736842105:8379; -0.44:7966; -0.381:7802
LetterRatioInURL,candidate_definition,B_scheme_prefix_removed,phishing,all,100945,66,0.06538213878844915,0.22306722918939545,0.19014285714285706,0.5364246129054719,-0.42,1644,-0.42:1644; -0.437666666667:1530; -0.404352941176:1470; -0.388888888889:1414; -0.457142857143:1193
LetterRatioInURL,candidate_definition,B_scheme_prefix_removed,legitimate,all,134850,0,0.0,0.39713307159229355,0.39473684210526316,0.8181896385784534,-0.408888888889,8565,-0.408888888889:8565; -0.424352941176:8419; -0.394736842105:8358; -0.44:7947; -0.381:7784
NoOfDegitsInURL,candidate_definition,B_scheme_prefix_removed,all,all,235795,234584,99.4864182870714,0.005161262961470769,0.0,0.9999813548119266,0.0,234584,0:234584; -1:1210; -7:1
NoOfDegitsInURL,candidate_definition,B_scheme_prefix_removed,phishing,all,100945,99734,98.8003368170786,0.012056070137203428,0.0,0.9999808214391085,0.0,99734,0:99734; -1:1210; -7:1
NoOfDegitsInURL,candidate_definition,B_scheme_prefix_removed,legitimate,all,134850,134850,100.0,0.0,0.0,0.9999999999999999,0.0,134850,0:134850
DegitRatioInURL,candidate_definition,B_scheme_prefix_removed,all,all,235795,184231,78.13185182043725,0.006396735934889387,0.0,0.9933925453251855,0.0,184231,0.0:184231; -0.054769230769:1052; -0.081:713; -0.014081081081:566; -0.022448275862:541
DegitRatioInURL,candidate_definition,B_scheme_prefix_removed,phishing,all,100945,52941,52.44539105453465,0.013703482059024217,0.0,0.9922814338623189,0.0,52941,0.0:52941; -0.054769230769:1052; -0.081:713; -0.014081081081:566; -0.022448275862:541
DegitRatioInURL,candidate_definition,B_scheme_prefix_removed,legitimate,all,134850,131290,97.36002966258806,0.00092710680992987,0.0,0.9975755002772494,0.0,131290,0.0:131290; -0.021666666667:167; -0.016823529412:151; -0.026923076923:150; -0.0195:145
NoOfOtherSpecialCharsInURL,candidate_definition,B_scheme_prefix_removed,all,all,235795,40500,17.175936724697298,0.9348501876630123,1.0,0.9629647904114417,-1.0,189004,-1:189004; 0:40500; -2:2998; -3:955; -4:757
NoOfOtherSpecialCharsInURL,candidate_definition,B_scheme_prefix_removed,phishing,all,100945,40500,40.120857892911985,0.8477784932388924,1.0,0.9674766395757898,-1.0,54158,-1:54158; 0:40500; -2:2994; -3:955; -4:757
NoOfOtherSpecialCharsInURL,candidate_definition,B_scheme_prefix_removed,legitimate,all,134850,0,0.0,1.000029662588061,1.0,0.9999416037650645,-1.0,134846,-1:134846; -2:4
NoOfOtherSpecialCharsInURL,candidate_definition,B_scheme_prefix_removed_other_special,all,all,235795,14,0.005937360843105239,1.9016730634661465,1.0,0.8612148371748061,1.0,144464,1:144464; 2:41602; 3:24190; 4:9672; 5:6427
NoOfOtherSpecialCharsInURL,candidate_definition,B_scheme_prefix_removed_other_special,phishing,all,100945,10,0.00990638466491654,2.8902768834513846,2.0,0.8753222592090983,1.0,29607,1:29607; 2:23364; 3:22499; 4:9612; 5:6427
NoOfOtherSpecialCharsInURL,candidate_definition,B_scheme_prefix_removed_other_special,legitimate,all,134850,4,0.0029662588060808304,1.1616314423433445,1.0,0.5977276326586819,1.0,114857,1:114857; 2:18238; 3:1691; 4:60; 0:4
SpacialCharRatioInURL,candidate_definition,B_scheme_prefix_removed,all,all,235795,1,0.0004240972030789457,0.06311759373546555,0.063,0.6691210730248324,-0.071111111111,9246,-0.071111111111:9246; -0.075647058824:9183; -0.067263157895:8984; -0.082:8831; -0.063:8475
SpacialCharRatioInURL,candidate_definition,B_scheme_prefix_removed,phishing,all,100945,1,0.000990638466491654,0.047560167144424466,0.044135135135135145,0.6887895339343789,-0.08,1854,-0.08:1854; -0.085333333333:1777; -0.074647058824:1653; -0.069111111111:1533; -0.092857142857:1511
SpacialCharRatioInURL,candidate_definition,B_scheme_prefix_removed,legitimate,all,134850,0,0.0,0.07476345526481402,0.0711111111111111,0.8606159915980021,-0.071111111111,8796,-0.071111111111:8796; -0.075647058824:8684; -0.067263157895:8563; -0.082:8232; -0.063:7963
SpacialCharRatioInURL,candidate_definition,B_scheme_prefix_removed_other_special,all,all,235795,4,0.0016963888123157828,0.053053013483899444,0.045,0.6600815158494114,0.042,10907,0.042:10907; 0.043:10798; 0.04:10574; 0.045:10490; 0.038:10269
SpacialCharRatioInURL,candidate_definition,B_scheme_prefix_removed_other_special,phishing,all,100945,0,0.0,0.06464929204154155,0.06,0.6507476016030465,0.045,3204,0.045:3204; 0.048:2872; 0.043:2556; 0.077:2406; 0.053:2326
SpacialCharRatioInURL,candidate_definition,B_scheme_prefix_removed_other_special,legitimate,all,134850,4,0.0029662588060808304,0.044372358393049004,0.04,0.5023459969345981,0.04,8796,0.04:8796; 0.042:8688; 0.038:8563; 0.043:8242; 0.037:7963
URLLength,candidate_definition,B2_scheme_and_www_prefix_removed,all,all,235795,0,0.0,9.982658665366102,11.0,0.9993606859578157,11.0,146330,11:146330; 8:29441; 10:29211; 7:25366; 6:4390
URLLength,candidate_definition,B2_scheme_and_www_prefix_removed,phishing,all,100945,0,0.0,8.62361682104116,8.0,0.9996893825610627,8.0,29441,8:29441; 10:29211; 7:25366; 11:11480; 6:4390
URLLength,candidate_definition,B2_scheme_and_www_prefix_removed,legitimate,all,134850,0,0.0,11.0,11.0,0.9999999999999998,11.0,134850,11:134850
URLLength,candidate_definition,B2_scheme_and_www_prefix_removed,all,http,51749,0,0.0,9.388200738178515,10.0,0.999364900575061,10.0,29211,10:29211; 11:10086; 7:8062; 6:4390
URLLength,candidate_definition,B2_scheme_and_www_prefix_removed,all,https,184046,0,0.0,10.14980494006933,11.0,0.9993942317244263,11.0,136244,11:136244; 8:29441; 7:17304; 12:1055; 4:1
NoOfLettersInURL,candidate_definition,B2_scheme_and_www_prefix_removed,all,all,235795,63023,26.72787802964439,0.7494645772811128,1.0,0.9997886756131134,-1.0,172157,-1:172157; 0:63023; -10:284; -5:104; -4:91
NoOfLettersInURL,candidate_definition,B2_scheme_and_www_prefix_removed,phishing,all,100945,63023,62.4330080737035,0.4146614493040765,0.0,0.999826307549523,0.0,63023,0:63023; -1:37311; -10:284; -5:104; -4:87
NoOfLettersInURL,candidate_definition,B2_scheme_and_www_prefix_removed,legitimate,all,134850,0,0.0,1.0000889877641825,1.0,0.9999941653721219,-1.0,134846,-1:134846; -4:4
LetterRatioInURL,candidate_definition,B2_scheme_and_www_prefix_removed,all,all,235795,66,0.027990415403210418,0.34526790577018834,0.38235294117647056,0.24923104526923295,-0.448571428571,8583,-0.448571428571:8583; -0.465076923077:8434; -0.433333333333:8379; -0.481666666667:7966; -0.4185:7802
LetterRatioInURL,candidate_definition,B2_scheme_and_www_prefix_removed,phishing,all,100945,66,0.06538213878844915,0.23147750908874584,0.18999999999999995,0.48544534187852517,-0.461666666667,1644,-0.461666666667:1644; -0.480090909091:1530; -0.445076923077:1470; -0.428571428571:1409; -0.5:1193
LetterRatioInURL,candidate_definition,B2_scheme_and_www_prefix_removed,legitimate,all,134850,0,0.0,0.4304482661187846,0.42915384615384616,0.7074068485902388,-0.448571428571,8565,-0.448571428571:8565; -0.465076923077:8419; -0.433333333333:8358; -0.481666666667:7947; -0.4185:7784
NoOfDegitsInURL,candidate_definition,B2_scheme_and_www_prefix_removed,all,all,235795,234584,99.4864182870714,0.005161262961470769,0.0,0.9999813548119266,0.0,234584,0:234584; -1:1210; -7:1
NoOfDegitsInURL,candidate_definition,B2_scheme_and_www_prefix_removed,phishing,all,100945,99734,98.8003368170786,0.012056070137203428,0.0,0.9999808214391085,0.0,99734,0:99734; -1:1210; -7:1
NoOfDegitsInURL,candidate_definition,B2_scheme_and_www_prefix_removed,legitimate,all,134850,134850,100.0,0.0,0.0,0.9999999999999999,0.0,134850,0:134850
DegitRatioInURL,candidate_definition,B2_scheme_and_www_prefix_removed,all,all,235795,184231,78.13185182043725,0.008614489244229204,0.0,0.9780156475985015,0.0,184231,0.0:184231; -0.054769230769:1052; -0.1685:711; -0.014081081081:566; -0.022448275862:541
DegitRatioInURL,candidate_definition,B2_scheme_and_www_prefix_removed,phishing,all,100945,52941,52.44539105453465,0.01746424625045108,0.0,0.9770340406571938,0.0,52941,0.0:52941; -0.054769230769:1052; -0.1685:711; -0.014081081081:566; -0.022448275862:541
DegitRatioInURL,candidate_definition,B2_scheme_and_www_prefix_removed,legitimate,all,134850,131290,97.36002966258806,0.0019898046243325253,0.0,0.9883896021642428,0.0,131290,0.0:131290; -0.045909090909:167; -0.034923076923:151; -0.061111111111:150; -0.040333333333:145
