comparison,feature,source_rows,external_rows,source_mean,source_median,source_std,source_p10,source_p25,source_p75,source_p90,external_mean,external_median,external_std,external_p10,external_p25,external_p75,external_p90,ks_statistic,ks_p_value,mean_difference_external_minus_source,median_difference_external_minus_source,is_binary_feature,source_proportion_1,external_proportion_1,absolute_percentage_point_difference_1
phishing_vs_phishing,number_of_dots,100945,16600,2.384694635692704,2.0,1.3198698869911383,2.0,2.0,3.0,3.0,1.927289156626506,2.0,0.8174271346314881,1.0,1.0,2.0,3.0,0.16928442781975395,0.0,-0.4574054790661979,0.0,False,,,
phishing_vs_phishing,domain_length,100945,16600,24.461647431769777,22.0,12.201993641832289,13.0,16.0,29.0,39.0,21.31963855421687,20.0,11.520266883152459,7.0,14.0,28.0,36.0,0.1554875254149492,1.8387366772707291e-301,-3.1420088775529074,-2.0,False,,,
phishing_vs_phishing,number_of_hyphens,100945,16600,0.7069889543810987,0.0,2.249067098678759,0.0,0.0,1.0,2.0,0.9374096385542169,0.0,1.455568602812969,0.0,0.0,1.0,3.0,0.12956206618539146,4.2239902287214976e-209,0.23042068417311823,0.0,False,,,
phishing_vs_phishing,special_character_count,100945,16600,7.651245727871613,6.0,7.222319758708912,5.0,5.0,8.0,11.0,8.996024096385542,7.0,9.289033642323353,5.0,6.0,9.0,15.0,0.1267022630121258,5.865602106292793e-200,1.3447783685139285,1.0,False,,,
phishing_vs_phishing,url_length,100945,16600,46.238773589578486,34.0,61.07484983571655,22.0,26.0,48.0,80.0,56.30469879518072,38.0,66.22428870931542,22.0,29.0,55.0,113.0,0.12127170229285067,3.630209508131546e-183,10.065925205602234,4.0,False,,,
phishing_vs_phishing,number_of_letters,100945,16600,34.24925454455396,25.0,42.465140233713974,16.0,20.0,36.0,60.0,41.55512048192771,29.0,49.462643880331036,16.0,22.0,41.0,81.0,0.12065556395675331,2.618112958036243e-181,7.305865937373746,4.0,False,,,
phishing_vs_phishing,number_of_equal_signs,100945,16600,0.14785279112387933,0.0,1.4275243936552753,0.0,0.0,0.0,0.0,0.39536144578313254,0.0,1.133964383605614,0.0,0.0,0.0,2.0,0.10190872758456682,2.381449654389571e-129,0.2475086546592532,0.0,False,,,
phishing_vs_phishing,digit_ratio,100945,16600,0.06359171912572252,0.0,0.09542111427505869,0.0,0.0,0.1020408163265306,0.1923076923076923,0.07375972052456051,0.0377358490566037,0.0983385436698809,0.0,0.0,0.1136363636363636,0.2,0.09319930571759527,3.238976750125431e-108,0.010168001398837986,0.0377358490566037,False,,,
phishing_vs_phishing,number_of_digits,100945,16600,4.338273317152905,0.0,17.880827866776514,0.0,0.0,5.0,11.0,5.753433734939759,1.0,14.605435370113751,0.0,0.0,6.0,17.0,0.09246595873811764,1.596161903875556e-106,1.4151604177868542,1.0,False,,,
phishing_vs_phishing,query_length,100945,16600,5.169240675615434,0.0,37.82553250830646,0.0,0.0,0.0,0.0,9.379698795180722,0.0,49.70932785352033,0.0,0.0,0.0,41.0,0.08581315305304626,8.780584496532751e-92,4.210458119565288,0.0,False,,,
phishing_vs_phishing,number_of_query_parameters,100945,16600,0.14139382832235375,0.0,0.8398985673444133,0.0,0.0,0.0,0.0,0.36765060240963854,0.0,1.0776030295354828,0.0,0.0,0.0,1.0,0.08528082810214566,1.1888540831257744e-90,0.22625677408728478,0.0,False,,,
